hood                头巾
endure              忍耐,忍受,持续
underlying          在下面的
concrete            具体的,实在的
delve               挖掘
embed               嵌入
colloquially        口语,白话,通俗
de facto            事实上的,实际上的
term                术语
heritage            遗产,继承
dual                双的
boot                引导
synax               语法
explicit            明确的,显然的
manual              手工的;指南
intervention        介入
horizontal          水平的
bar                 条
directory           目录
overwhelming        压倒性的
bulk                容积,体积
natation            表示法
supplement          补充物
encounter           遇见
parenthetical       括号中的
encode              编码
decode              解码,译码
airthmetic          算术的
novice              新手,初学者
complement          补码
algrebraic          代数的
geometry            几何学
property            性质
hence               因此
demonstrate         示范,示例
asymmetric          不对称的
vulnerability       漏洞
leak                漏洞
sequential          顺序的
mitigate            镇静,缓和
subset              子集
conceptually        概念地
simulator           模拟器,模拟装置
synthesis           合成
optimize            优化
hierarchy           分层结构
linear              直线的,线性的
capacity            容量
pipeline            管道,传输路径
pipe                管;用管道传输
magnetic            磁性的
spatical            空间的
locality            地方,位置
ridge               山脊
slope               倾斜
spatical            空间
relocatable         可重置
glitch              小失误
mapping             映射
exception           异常,例外
interrupt           中断
abrupt              突然的
discipline          训练
manipulate          操纵
concurrent          同时发生的
reinforce           加强,增强
subdivide           细分,再划分
descriptor          描述符
metadata            元数据
robust              健康的
iterative           重复的
reentrancy          可重入性

